frame_number,track_id,class_name,speed_kph,pixel_distance_per_frame
560,151,bus,27.01,3.61
560,154,car,7.49,1.0
560,164,car,27.01,3.61
561,151,bus,23.69,3.16
561,154,car,14.98,2.0
561,164,car,30.89,4.12
562,151,bus,21.19,2.83
562,154,car,10.59,1.41
562,164,car,33.5,4.47
563,151,bus,14.98,2.0
563,154,car,10.59,1.41
563,164,car,21.19,2.83
563,149,car,77.12,10.3
564,151,bus,7.49,1.0
564,154,car,16.75,2.24
564,164,car,23.69,3.16
564,149,car,30.89,4.12
565,151,bus,14.98,2.0
565,154,car,16.75,2.24
565,164,car,21.19,2.83
566,151,bus,16.75,2.24
566,154,car,16.75,2.24
566,164,car,43.68,5.83
566,193,car,147.74,19.72
567,151,bus,7.49,1.0
567,154,car,16.75,2.24
567,164,car,21.19,2.83
567,193,car,317.46,42.38
568,151,bus,21.19,2.83
568,154,car,10.59,1.41
568,164,car,23.69,3.16
568,193,car,127.12,16.97
569,151,bus,16.75,2.24
569,154,car,16.75,2.24
569,164,car,27.01,3.61
569,193,car,106.47,14.21
570,151,bus,10.59,1.41
570,154,car,7.49,1.0
570,164,car,23.69,3.16
570,193,car,105.94,14.14
571,151,bus,10.59,1.41
571,154,car,27.01,3.61
571,164,car,33.5,4.47
571,193,car,91.44,12.21
572,151,bus,16.75,2.24
572,154,car,7.49,1.0
572,164,car,29.96,4.0
572,193,car,100.78,13.45
573,151,bus,7.49,1.0
573,154,car,14.98,2.0
573,164,car,27.01,3.61
573,193,car,104.07,13.89
574,151,bus,7.49,1.0
574,154,car,14.98,2.0
574,164,car,27.01,3.61
574,193,car,95.93,12.81
575,151,bus,16.75,2.24
575,154,car,7.49,1.0
575,164,car,7.49,1.0
575,193,car,70.67,9.43
576,151,bus,16.75,2.24
576,154,car,16.75,2.24
576,164,car,16.75,2.24
576,193,car,90.2,12.04
577,151,bus,7.49,1.0
577,154,car,10.59,1.41
577,164,car,16.75,2.24
577,193,car,67.0,8.94
578,151,truck,16.75,2.24
578,154,car,10.59,1.41
578,164,car,16.75,2.24
578,193,car,70.67,9.43
579,151,truck,10.59,1.41
579,154,car,16.75,2.24
579,164,car,23.69,3.16
579,193,car,77.12,10.3
580,151,truck,14.98,2.0
580,154,car,10.59,1.41
580,164,car,16.75,2.24
580,193,car,67.0,8.94
581,151,truck,16.75,2.24
581,154,car,21.19,2.83
581,164,car,16.75,2.24
581,193,car,47.97,6.4
582,154,car,7.49,1.0
582,164,car,16.75,2.24
582,193,car,54.02,7.21
582,205,car,120.09,16.03
583,154,car,21.19,2.83
583,164,car,10.59,1.41
583,193,car,33.5,4.47
583,205,car,150.01,20.02
583,151,bus,14.98,2.0
584,154,car,10.59,1.41
584,164,car,10.59,1.41
584,193,car,50.25,6.71
584,205,car,222.47,29.7
584,151,bus,10.59,1.41
585,154,car,16.75,2.24
585,164,car,16.75,2.24
585,193,car,43.68,5.83
585,205,car,202.39,27.02
585,151,bus,7.49,1.0
586,164,car,7.49,1.0
586,193,car,52.97,7.07
586,205,car,116.53,15.56
586,151,bus,7.49,1.0
587,164,car,16.75,2.24
587,193,car,47.38,6.32
587,205,car,133.37,17.8
587,151,bus,16.75,2.24
588,164,car,22.47,3.0
588,193,car,33.5,4.47
588,205,car,97.67,13.04
588,151,bus,7.49,1.0
589,164,car,10.59,1.41
589,193,car,42.37,5.66
589,205,car,114.34,15.26
589,151,bus,7.49,1.0
590,164,car,29.96,4.0
590,193,car,57.05,7.62
590,205,car,91.44,12.21
590,151,bus,7.49,1.0
591,164,car,10.59,1.41
591,193,car,14.98,2.0
591,205,car,91.44,12.21
591,151,bus,7.49,1.0
592,164,car,7.49,1.0
592,193,car,27.01,3.61
592,205,car,85.41,11.4
592,151,bus,10.59,1.41
593,164,car,16.75,2.24
593,193,car,37.45,5.0
593,205,car,70.67,9.43
593,151,bus,16.75,2.24
594,164,car,30.89,4.12
594,193,car,21.19,2.83
594,205,car,64.44,8.6
594,151,bus,0.0,0.0
595,152,car,121.94,16.28
595,164,car,45.57,6.08
595,193,car,38.2,5.1
595,205,car,87.36,11.66
595,151,bus,7.49,1.0
596,152,car,121.94,16.28
596,164,car,112.61,15.03
596,193,car,27.01,3.61
596,205,car,87.68,11.7
596,151,bus,7.49,1.0
596,215,car,170.82,22.8
597,152,car,138.13,18.44
597,164,car,44.95,6.0
597,193,car,21.19,2.83
597,205,car,47.97,6.4
597,151,bus,10.59,1.41
597,215,car,190.98,25.5
598,152,car,114.1,15.23
598,164,car,14.98,2.0
598,193,car,23.69,3.16
598,205,car,43.68,5.83
